RecordedAtTime,MonitoringRef,LineRef,DirectionRef,VehicleRef,OriginName,DestinationName,StopPointName,VehicleLocation.Latitude,VehicleLocation.Longitude,AimedArrivalTime,ExpectedArrivalTime,AimedDepartureTime,ExpectedDepartureTime
2025-11-16T00:04:47Z,70131,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,San Carlos Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:05:00Z,2025-11-16T00:04:36Z,2025-11-16T00:05:00Z,2025-11-16T00:05:36Z
2025-11-16T00:04:47Z,70132,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,San Carlos Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:04:00Z,2025-11-16T00:05:58Z,2025-11-16T00:04:00Z,2025-11-16T00:06:58Z
2025-11-16T00:04:47Z,70232,Local Weekend,S,630,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Lawrence Caltrain Station Southbound,37.3751984,-122.020203,2025-11-16T00:03:00Z,2025-11-16T00:06:03Z,2025-11-16T00:03:00Z,2025-11-16T00:07:03Z
2025-11-16T00:04:47Z,70231,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Lawrence Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:07:00Z,2025-11-16T00:06:36Z,2025-11-16T00:07:00Z,2025-11-16T00:07:36Z
2025-11-16T00:04:47Z,70121,Local Weekend,N,635,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Belmont Caltrain Station Northbound,37.507,-122.259003,2025-11-16T00:08:00Z,2025-11-16T00:07:06Z,2025-11-16T00:08:00Z,2025-11-16T00:08:06Z
2025-11-16T00:04:47Z,70142,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Redwood City Caltrain Station Southbound,37.5224075,-122.277763,2025-11-16T00:08:00Z,2025-11-16T00:07:18Z,2025-11-16T00:08:00Z,2025-11-16T00:08:18Z
2025-11-16T00:04:47Z,70031,Local Weekend,N,633,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Bayshore Caltrain Station Northbound,37.6557198,-122.405136,2025-11-16T00:05:00Z,2025-11-16T00:08:30Z,2025-11-16T00:05:00Z,2025-11-16T00:09:30Z
2025-11-16T00:04:47Z,70042,Local Weekend,S,634,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,South San Francisco Caltrain Station Southbound,37.7075996,-122.401901,2025-11-16T00:10:00Z,2025-11-16T00:09:21Z,2025-11-16T00:10:00Z,2025-11-16T00:10:21Z
2025-11-16T00:04:47Z,70221,Local Weekend,N,637,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,Sunnyvale Caltrain Station Northbound,37.3684006,-121.970802,2025-11-16T00:11:00Z,2025-11-16T00:10:06Z,2025-11-16T00:11:00Z,2025-11-16T00:11:06Z
2025-11-16T00:04:47Z,70242,Local Weekend,S,630,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,Santa Clara Caltrain Station Southbound,37.3751984,-122.020203,2025-11-16T00:07:00Z,2025-11-16T00:10:20Z,2025-11-16T00:07:00Z,2025-11-16T00:11:20Z
