RecordedAtTime,LineRef,DirectionRef,VehicleRef,OriginName,DestinationName,VehicleLocation.Latitude,VehicleLocation.Longitude,CallType,StopPointRef,StopPointName,AimedArrivalTime,ExpectedArrivalTime,AimedDepartureTime,ExpectedDepartureTime
2025-11-16T00:04:47Z,Local Weekend,S,630,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.3751984,-122.020203,MonitoredCall,70232,Lawrence Caltrain Station Southbound,2025-11-16T00:03:00Z,2025-11-16T00:06:03Z,2025-11-16T00:03:00Z,2025-11-16T00:07:03Z
2025-11-16T00:04:47Z,Local Weekend,S,630,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.3751984,-122.020203,OnwardCall,70242,Santa Clara Caltrain Station Southbound,2025-11-16T00:07:00Z,2025-11-16T00:10:20Z,2025-11-16T00:07:00Z,2025-11-16T00:11:20Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,MonitoredCall,70132,San Carlos Caltrain Station Southbound,2025-11-16T00:04:00Z,2025-11-16T00:05:58Z,2025-11-16T00:04:00Z,2025-11-16T00:06:58Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,OnwardCall,70142,Redwood City Caltrain Station Southbound,2025-11-16T00:08:00Z,2025-11-16T00:07:18Z,2025-11-16T00:08:00Z,2025-11-16T00:08:18Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,OnwardCall,70162,Menlo Park Caltrain Station Southbound,2025-11-16T00:12:00Z,2025-11-16T00:12:29Z,2025-11-16T00:12:00Z,2025-11-16T00:13:29Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,OnwardCall,70172,Palo Alto Caltrain Station Southbound,2025-11-16T00:16:00Z,2025-11-16T00:15:24Z,2025-11-16T00:16:00Z,2025-11-16T00:16:24Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,OnwardCall,70192,California Avenue Caltrain Station Southbound,2025-11-16T00:19:00Z,2025-11-16T00:18:42Z,2025-11-16T00:19:00Z,2025-11-16T00:19:42Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,OnwardCall,70202,San Antonio Caltrain Station Southbound,2025-11-16T00:22:00Z,2025-11-16T00:21:30Z,2025-11-16T00:22:00Z,2025-11-16T00:22:30Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,OnwardCall,70212,Mountain View Caltrain Station Southbound,2025-11-16T00:25:00Z,2025-11-16T00:24:48Z,2025-11-16T00:25:00Z,2025-11-16T00:25:48Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,OnwardCall,70222,Sunnyvale Caltrain Station Southbound,2025-11-16T00:29:00Z,2025-11-16T00:28:36Z,2025-11-16T00:29:00Z,2025-11-16T00:29:36Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,OnwardCall,70232,Lawrence Caltrain Station Southbound,2025-11-16T00:33:00Z,2025-11-16T00:32:00Z,2025-11-16T00:33:00Z,2025-11-16T00:33:00Z
2025-11-16T00:04:47Z,Local Weekend,S,632,San Francisco Caltrain Station Southbound,San Jose Diridon Caltrain Station Southbound,37.5224075,-122.277763,OnwardCall,70242,Santa Clara Caltrain Station Southbound,2025-11-16T00:37:00Z,2025-11-16T00:36:42Z,2025-11-16T00:37:00Z,2025-11-16T00:37:42Z
2025-11-16T00:04:47Z,Local Weekend,N,633,San Jose Diridon Caltrain Station Northbound,San Francisco Caltrain Station Northbound,37.6557198,-122.405136,MonitoredCall,70031,Bayshore Caltrain Station Northbound,2025-11-16T00:05:00Z,2025-11-16T00:08:30Z,2025-11-16T00:05:00Z,2025-11-16T00:09:30Z
