Id,Name,ShortName,SiriOperatorRef,TimeZone,DefaultLanguage,ContactTelephoneNumber,WebSite,PrimaryMode,PrivateCode,Monitored,OtherModes
5E,511 Emergency,511 Emergency,,America/Vancouver,en,,,other,5E,False,
5F,511 Flap Sign,511 Flap Sign,,America/Vancouver,en,,,other,5F,False,
5O,511 Operations,511 Emergency,,America/Vancouver,en,,,other,5O,False,
5S,511 Staff,511 Staff,,America/Vancouver,en,,,other,5S,False,
AC,AC TRANSIT,AC Transit,actransit,America/Vancouver,en,510 891-4777 ,http://www.actransit.org,bus,AC,True,
CE,Altamont Corridor Express,ACE,null,America/Vancouver,en,1-800-411-7245,https://acerail.com/,rail,CE,True,
AF,Angel Island Tiburon Ferry,Angel Island Ferry,,America/Vancouver,en,,https://angelislandferry.com,ferry,AF,False,
BA,Bay Area Rapid Transit,BART,BART,America/Vancouver,en,510-465-2278,https://www.bart.gov/,rail,BA,True,bus
CT,Caltrain,Caltrain,Caltrain,America/Vancouver,en,(800) 660-4287,http://www.caltrain.com,rail,CT,True,
AM,Capitol Corridor Joint Powers Authority,Capitol Corridor,,America/Vancouver,en,1-877-9-RIDECC (1-877-974-3322),http://www.capitolcorridor.org,bus,AM,True,rail
SS,City of South San Francisco,South City Shuttle,,America/Vancouver,en,,http://www.ssf.net/SCS,bus,SS,False,
CM,Commute.org Shuttles,Commute.org,Commute.org,America/Vancouver,en,,http://www.commute.org,bus,CM,False,
CC,County Connection,County Connection,County Connection,America/Vancouver,en,925- 676-7500,http://www.countyconnection.com/,bus,CC,True,
DE,Dumbarton Express Consortium,Dumbarton,Dumbarton Express,America/Vancouver,en,"511 and say ""Transit agencies - Dumbarton Express""",https://dumbartonexpress.com,bus,DE,True,
EE,Emery Express,,,America/Vancouver,en,,https://liveattheemery.com/transportation,bus,EE,False,
EM,Emery Go-Round,Emery Go-Round,,America/Vancouver,en,"510-451-ETMA (3862) 
",https://emerygoround.com/,bus,EM,False,
