@id,Name,PublicCode,TransportMode,Centroid.Location.Latitude,Centroid.Location.Longitude,PostalAddress.AddressLine1,PostalAddress.Town
70011,San Francisco Caltrain Station Northbound,70011,rail,37.77639,-122.394992,San Francisco Caltrain Station Northbound,San Francisco
70012,San Francisco Caltrain Station Southbound,70012,rail,37.776348,-122.394935,San Francisco Caltrain Station Southbound,San Francisco
70021,22nd Street Caltrain Station Northbound,70021,rail,37.757599,-122.39188,22nd Street Caltrain Station Northbound,San Francisco
70022,22nd Street Caltrain Station Southbound,70022,rail,37.757583,-122.392404,22nd Street Caltrain Station Southbound,San Francisco
70031,Bayshore Caltrain Station Northbound,70031,rail,37.709537,-122.401586,Bayshore Caltrain Station Northbound,San Francisco
70032,Bayshore Caltrain Station Southbound,70032,rail,37.709544,-122.40198,Bayshore Caltrain Station Southbound,San Francisco
70041,South San Francisco Caltrain Station Northbound,70041,rail,37.6559413948,-122.4049790512,South San Francisco Caltrain Station Northbound,South San Francisco
70042,South San Francisco Caltrain Station Southbound,70042,rail,37.6559419334,-122.4049797097,South San Francisco Caltrain Station Southbound,South San Francisco
70051,San Bruno Caltrain Station Northbound,70051,rail,37.6304996012,-122.4115926041,San Bruno Caltrain Station Northbound,San Bruno
70052,San Bruno Caltrain Station Southbound,70052,rail,37.6304605129,-122.4117090507,San Bruno Caltrain Station Southbound,San Bruno
70061,Millbrae Caltrain Station Northbound,70061,rail,37.59988,-122.386647,Millbrae Caltrain Station Northbound,Millbrae
70062,Millbrae Caltrain Station Southbound,70062,rail,37.599797,-122.386832,Millbrae Caltrain Station Southbound,Millbrae
70071,Broadway Caltrain Station Northbound,70071,rail,37.58764,-122.36265,Broadway Caltrain Station Northbound,Burlingame
70072,Broadway Caltrain Station Southbound,70072,rail,37.587552,-122.362708,Broadway Caltrain Station Southbound,Burlingame
70081,Burlingame Caltrain Station Northbound,70081,rail,37.580197,-122.3449,Burlingame Caltrain Station Northbound,Burlingame
70082,Burlingame Caltrain Station Southbound,70082,rail,37.580186,-122.345075,Burlingame Caltrain Station Southbound,Burlingame
70091,San Mateo Caltrain Station Northbound,70091,rail,37.568087,-122.323851,San Mateo Caltrain Station Northbound,San Mateo
70092,San Mateo Caltrain Station Southbound,70092,rail,37.568294,-122.324092,San Mateo Caltrain Station Southbound,San Mateo
70101,Hayward Park Caltrain Station Northbound,70101,rail,37.552938,-122.309338,Hayward Park Caltrain Station Northbound,San Mateo
70102,Hayward Park Caltrain Station Southbound,70102,rail,37.552994,-122.309608,Hayward Park Caltrain Station Southbound,San Mateo
70111,Hillsdale Caltrain Station Northbound,70111,rail,37.542607659,-122.3014966366,Hillsdale Caltrain Station Northbound,San Mateo
70112,Hillsdale Caltrain Station Southbound,70112,rail,37.542536,-122.301666,Hillsdale Caltrain Station Southbound,San Mateo
70121,Belmont Caltrain Station Northbound,70121,rail,37.52089,-122.275738,Belmont Caltrain Station Northbound,Belmont
70122,Belmont Caltrain Station Southbound,70122,rail,37.520844,-122.275816,Belmont Caltrain Station Southbound,Belmont
70131,San Carlos Caltrain Station Northbound,70131,rail,37.50805,-122.26015,San Carlos Caltrain Station Northbound,San Carlos
70132,San Carlos Caltrain Station Southbound,70132,rail,37.507933,-122.260266,San Carlos Caltrain Station Southbound,San Carlos
70141,Redwood City Caltrain Station Northbound,70141,rail,37.486159,-122.231936,Redwood City Caltrain Station Northbound,Redwood City
70142,Redwood City Caltrain Station Southbound,70142,rail,37.486101,-122.232,Redwood City Caltrain Station Southbound,Redwood City
70161,Menlo Park Caltrain Station Northbound,70161,rail,37.454856,-122.182297,Menlo Park Caltrain Station Northbound,Menlo Park
70162,Menlo Park Caltrain Station Southbound,70162,rail,37.454745,-122.182405,Menlo Park Caltrain Station Southbound,Menlo Park
70171,Palo Alto Caltrain Station Northbound,70171,rail,37.443475,-122.164614,Palo Alto Caltrain Station Northbound,Palo Alto
70172,Palo Alto Caltrain Station Southbound,70172,rail,37.443405,-122.164697,Palo Alto Caltrain Station Southbound,Palo Alto
70191,California Avenue Caltrain Station Northbound,70191,rail,37.429365,-122.141927,California Avenue Caltrain Station Northbound,Palo Alto
70192,California Avenue Caltrain Station Southbound,70192,rail,37.429333,-122.141978,California Avenue Caltrain Station Southbound,Palo Alto
70201,San Antonio Caltrain Station Northbound,70201,rail,37.4073321574,-122.1070020272,San Antonio Caltrain Station Northbound,Mountain View (Santa Clara)
70202,San Antonio Caltrain Station Southbound,70202,rail,37.4072397241,-122.1071162171,San Antonio Caltrain Station Southbound,Mountain View (Santa Clara)
